doc_id,primary_label_id,score,sample_text,annotator_notes
ANN.EVT.RALLY-5-01,ANN.EVT.RALLY,5,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.RALLY-5-02,ANN.EVT.RALLY,5,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.RALLY-5-03,ANN.EVT.RALLY,5,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.RALLY-5-04,ANN.EVT.RALLY,5,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.RALLY-5-05,ANN.EVT.RALLY,5,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.RALLY-4-01,ANN.EVT.RALLY,4,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.RALLY-4-02,ANN.EVT.RALLY,4,"OH-11 — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.RALLY-4-03,ANN.EVT.RALLY,4,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.RALLY-4-04,ANN.EVT.RALLY,4,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.RALLY-4-05,ANN.EVT.RALLY,4,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.RALLY-3-01,ANN.EVT.RALLY,3,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
