doc_id,primary_label_id,scenario_tag,scenario_desc,prose_text,jsonld_snippet,expected_violation_tags
ADV-ANN.EVT.RALLY-HEADLINE_MISMATCH-01,ANN.EVT.RALLY,HEADLINE_MISMATCH,Headline in JSON-LD differs from the first line of prose.,"CLEVELAND — Jane Smith will headline a community picnic this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-headline_mismatch-1"",
  ""headline"": ""Jane Smith Announces Waterfront Cleanup, Not Rally"",
  ""datePublished"": ""2025-10-01"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://janesmithforcongress.org/rsvp/cleveland-rally""
  }
}",HEADLINE_MISMATCH
ADV-ANN.EVT.RALLY-HEADLINE_MISMATCH-02,ANN.EVT.RALLY,HEADLINE_MISMATCH,Headline in JSON-LD differs from the first line of prose.,"CLEVELAND — Jane Smith will headline a community picnic this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-headline_mismatch-2"",
  ""headline"": ""Jane Smith Announces Waterfront Cleanup, Not Rally"",
  ""datePublished"": ""2025-10-01"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://janesmithforcongress.org/rsvp/cleveland-rally""
  }
}",HEADLINE_MISMATCH
ADV-ANN.EVT.RALLY-DATE_MISMATCH-01,ANN.EVT.RALLY,DATE_MISMATCH,datePublished in JSON-LD is different than the date referenced in the prose lead.,"CLEVELAND — Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-date_mismatch-1"",
  ""headline"": ""Jane Smith Announces Weekend Rally at Mall B"",
  ""datePublished"": ""2025-11-12"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://janesmithforcongress.org/rsvp/cleveland-rally""
  }
}",DATE_MISMATCH
ADV-ANN.EVT.RALLY-DATE_MISMATCH-02,ANN.EVT.RALLY,DATE_MISMATCH,datePublished in JSON-LD is different than the date referenced in the prose lead.,"CLEVELAND — Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-date_mismatch-2"",
  ""headline"": ""Jane Smith Announces Weekend Rally at Mall B"",
  ""datePublished"": ""2025-11-12"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://janesmithforcongress.org/rsvp/cleveland-rally""
  }
}",DATE_MISMATCH
ADV-ANN.EVT.RALLY-CTA_ABSENT_IN_PROSE-01,ANN.EVT.RALLY,CTA_ABSENT_IN_PROSE,CTA URL present in JSON-LD but not mentioned in prose.,"CLEVELAND — Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-cta_absent_in_prose-1"",
  ""headline"": ""Jane Smith Announces Weekend Rally at Mall B"",
  ""datePublished"": ""2025-10-01"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://janesmithforcongress.org/rsvp/cleveland-rally""
  }
}",CTA_ABSENT_IN_PROSE
ADV-ANN.EVT.RALLY-CTA_ABSENT_IN_PROSE-02,ANN.EVT.RALLY,CTA_ABSENT_IN_PROSE,CTA URL present in JSON-LD but not mentioned in prose.,"CLEVELAND — Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-cta_absent_in_prose-2"",
  ""headline"": ""Jane Smith Announces Weekend Rally at Mall B"",
  ""datePublished"": ""2025-10-01"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://janesmithforcongress.org/rsvp/cleveland-rally""
  }
}",CTA_ABSENT_IN_PROSE
ADV-ANN.EVT.RALLY-CTA_DOMAIN_BAD-01,ANN.EVT.RALLY,CTA_DOMAIN_BAD,"CTA URL domain does not match page host or allowlist (e.g., shady.example.com).","CLEVELAND — Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-cta_domain_bad-1"",
  ""headline"": ""Jane Smith Announces Weekend Rally at Mall B"",
  ""datePublished"": ""2025-10-01"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://shady.example.com/rsvp""
  }
}",CTA_DOMAIN_BAD
ADV-ANN.EVT.RALLY-CTA_DOMAIN_BAD-02,ANN.EVT.RALLY,CTA_DOMAIN_BAD,"CTA URL domain does not match page host or allowlist (e.g., shady.example.com).","CLEVELAND — Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-cta_domain_bad-2"",
  ""headline"": ""Jane Smith Announces Weekend Rally at Mall B"",
  ""datePublished"": ""2025-10-01"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://shady.example.com/rsvp""
  }
}",CTA_DOMAIN_BAD
ADV-ANN.EVT.RALLY-CLAIM_NOT_IN_PROSE-01,ANN.EVT.RALLY,CLAIM_NOT_IN_PROSE,Claim exists in JSON-LD but its text isn't referenced in articleBody.,"CLEVELAND — Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-claim_not_in_prose-1"",
  ""headline"": ""Jane Smith Announces Weekend Rally at Mall B"",
  ""datePublished"": ""2025-10-01"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://janesmithforcongress.org/rsvp/cleveland-rally""
  },
  ""cpo:claims"": [
    {
      ""@type"": ""cpo:Claim"",
      ""@id"": ""claim:hidden-1"",
      ""cpo:claimText"": ""The plan will support 25,000 local jobs over ten years."",
      ""cpo:evidence"": [
        {
          ""@type"": ""CreativeWork"",
          ""url"": ""https://example.edu/study.pdf""
        }
      ]
    }
  ]
}",CLAIM_NOT_IN_PROSE
ADV-ANN.EVT.RALLY-CLAIM_NOT_IN_PROSE-02,ANN.EVT.RALLY,CLAIM_NOT_IN_PROSE,Claim exists in JSON-LD but its text isn't referenced in articleBody.,"CLEVELAND — Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM.

Doors open at 2:15 PM. ASL will be available.","{
  ""@context"": [
    ""https://schema.org"",
    ""https://campaign-press-ontology.org/ns/v1#""
  ],
  ""@type"": [
    ""PressRelease""
  ],
  ""@id"": ""https://janesmithforcongress.org/press/test-ann-evt-rally-claim_not_in_prose-2"",
  ""headline"": ""Jane Smith Announces Weekend Rally at Mall B"",
  ""datePublished"": ""2025-10-01"",
  ""author"": {
    ""@type"": ""Organization"",
    ""name"": ""Jane Smith for Congress"",
    ""contactPoint"": {
      ""@type"": ""ContactPoint"",
      ""contactType"": ""press"",
      ""email"": ""press@janesmithforcongress.org""
    }
  },
  ""articleBody"": ""CLEVELAND \u2014 Jane Smith will headline a rally this Saturday at Mall B at 3:00 PM."",
  ""cpo:subtype"": ""ANN.EVT.RALLY"",
  ""cpo:releaseType"": ""announcement"",
  ""cpo:cta"": {
    ""@type"": ""cpo:CTA"",
    ""cpo:type"": ""rsvp"",
    ""url"": ""https://janesmithforcongress.org/rsvp/cleveland-rally""
  },
  ""cpo:claims"": [
    {
      ""@type"": ""cpo:Claim"",
      ""@id"": ""claim:hidden-2"",
      ""cpo:claimText"": ""The plan will support 25,000 local jobs over ten years."",
      ""cpo:evidence"": [
        {
          ""@type"": ""CreativeWork"",
          ""url"": ""https://example.edu/study.pdf""
        }
      ]
    }
  ]
}",CLAIM_NOT_IN_PROSE
